89,bus,0.6163,1,1314,217,1480,385
92,bus,0.6853,1,1314,220,1475,382
94,person,0.6101,42,0,249,41,478
95,car,0.6150,41,1451,319,1513,379
95,person,0.7594,42,0,237,53,486
96,car,0.7251,41,1449,319,1513,381
96,bus,0.7013,1,1311,223,1464,381
96,person,0.7924,42,0,234,60,488
97,car,0.7104,41,1449,320,1514,381
97,bus,0.7533,1,1310,224,1463,380
97,person,0.8344,42,0,231,68,490
98,car,0.7208,41,1446,320,1514,381
98,bus,0.7263,1,1310,226,1462,380
98,person,0.8247,42,0,232,73,491
99,car,0.7122,41,1443,320,1514,381
99,bus,0.7834,1,1309,226,1460,380
99,person,0.8246,42,0,235,77,492
100,car,0.6715,41,1438,320,1515,381
100,bus,0.8084,1,1308,226,1459,378
100,person,0.8339,42,0,234,78,494
101,car,0.6982,41,1436,320,1516,381
101,bus,0.7004,1,1308,227,1458,379
101,person,0.8624,42,0,233,79,497
102,car,0.6960,41,1435,320,1517,382
102,bus,0.7826,1,1308,228,1457,378
102,person,0.8514,42,0,231,83,495
103,car,0.7171,41,1435,320,1518,382
103,bus,0.7634,1,1309,229,1456,379
103,person,0.8814,42,0,230,89,495
104,car,0.7265,41,1435,320,1518,382
104,bus,0.6208,1,1309,229,1456,379
104,person,0.8319,42,2,232,96,492
105,car,0.7278,41,1435,320,1519,382
105,bus,0.7718,1,1308,229,1453,379
105,person,0.8574,42,9,230,105,492
106,car,0.7363,41,1434,320,1519,382
106,bus,0.7504,1,1308,230,1450,379
106,person,0.8772,42,19,228,114,492
107,car,0.7311,41,1433,320,1519,382
107,bus,0.6580,1,1308,232,1446,378
107,person,0.8753,42,26,228,131,492
108,car,0.7311,41,1433,320,1519,381
108,bus,0.6537,1,1307,232,1445,378
108,person,0.8499,42,30,229,147,491
109,car,0.7441,41,1431,320,1518,381
109,bus,0.7609,1,1304,232,1445,378
109,person,0.8641,42,34,230,157,490
110,car,0.7568,41,1431,321,1518,381
110,bus,0.7547,1,1303,233,1443,377
110,person,0.8691,42,38,232,164,488
111,car,0.7584,41,1430,321,1518,381
111,bus,0.6953,1,1301,233,1440,377
111,person,0.8633,42,40,234,165,487
112,car,0.7682,41,1428,321,1517,381
112,person,0.8517,42,40,239,169,487
113,car,0.7780,41,1428,321,1517,382
113,person,0.8457,42,45,241,170,488
114,car,0.7962,41,1425,320,1517,382
114,person,0.8343,42,51,240,170,490
115,car,0.7884,41,1424,321,1517,382
115,person,0.8404,42,60,240,171,488
116,car,0.7875,41,1421,321,1517,382
116,person,0.8089,42,74,239,172,485
117,car,0.7973,41,1420,320,1517,382
117,person,0.7905,42,87,238,173,482
118,car,0.7999,41,1420,320,1516,382
118,bus,0.6082,1,1291,236,1428,374
118,person,0.7522,42,95,238,174,481
119,car,0.7972,41,1418,321,1516,382
119,bus,0.6471,1,1291,237,1428,374
119,person,0.7274,42,101,240,180,479
120,car,0.7643,41,1419,321,1516,382
120,bus,0.6807,1,1290,237,1427,374
120,person,0.7708,42,107,239,184,479
121,car,0.7453,41,1417,321,1517,382
121,bus,0.6812,1,1290,238,1427,373
121,person,0.7686,42,111,241,191,480
122,car,0.7385,41,1418,321,1517,382
122,bus,0.6615,1,1289,238,1427,373
122,person,0.8113,42,113,242,200,479
123,car,0.7409,41,1420,321,1517,382
123,bus,0.6599,1,1289,239,1425,373
123,person,0.8045,42,115,245,207,478
124,car,0.7502,41,1421,321,1517,382
124,bus,0.6538,1,1288,239,1423,373
124,person,0.7918,42,116,248,213,477
125,car,0.7455,41,1422,322,1517,381
125,bus,0.6608,1,1289,239,1421,373
125,person,0.7938,42,121,247,217,475
126,car,0.7442,41,1421,322,1516,381
126,bus,0.6589,1,1289,239,1419,372
126,person,0.8093,42,125,242,221,475
127,car,0.7416,41,1422,322,1516,382
127,bus,0.7158,1,1289,239,1419,371
127,person,0.8075,42,130,238,223,475
